id,japones,hiragana,romaji,traduccion
1227,恥ずかしい,はずかしい,hazukashii,Es vergonzoso
1228,ボタン,ぼたん,botan,Botón
1229,洋服,ようふく,youfuku,ropa
1230,油,あぶら,abura,aceite
1232,余る,あまる,amaru,Hay extra
1234,正直,しょうじき,shoujiki,Honestidad
1235,ドラマ,どらま,dorama,Serie / Telenovela
1236,ビザ,びざ,biza,visa
1237,水道,すいどう,suidou,Agua
1238,店員,てんいん,tenin,dependiente / empleado de tienda
1239,電池,でんち,denchi,batería
1240,ポケット,ぽけっと,poketto,bolsillo
1241,握手,あくしゅ,akushu,apretón de manos
1242,そろそろ,そろそろ,sorosoro,Ya es hora
1243,ぶどう,ぶどう,budou,Uvas
1244,迷う,まよう,mayou,dudar / perderse
1245,見物,けんぶつ,kenbutsu,Cosas para ver
1246,知らせる,しらせる,shiraseru,Hágamelo saber
1247,神社,じんじゃ,jinja,santuario
1248,注射,ちゅうしゃ,chuusha,inyección
1249,めったに,~ない,mettani,Casi nunca
1250,作文,さくぶん,sakubun,Ensayo
1251,鳴る,なる,naru,sonar
1252,真面目,まじめ,majime,grave
1253,申し込む,もうしこむ,moushikomu,aplicar
1254,冷蔵庫,れいぞうこ,reizouko,refrigerador
1255,気に入る,きにいる,kiniiru,gustar / agradar
1256,クリスマス,くりすます,kurisumasu,Navidad
1257,ネクタイ,ねくたい,nekutai,Corbata
1258,誕生日,たんじょうび,tanjoubi,cumpleaños
1259,独身,どくしん,dokushin,soltero
1260,苦い,にがい,nigai,amargo
1261,バイオリン,ばいおりん,baiorin,violín
1262,バッグ,ばっぐ,baggu,bolsa
1263,今まで,いままで,imamade,Hasta ahora
1264,切符,きっぷ,kippu,boleto
1265,ゴム,ごむ,gomu,Goma
1266,少々,しょうしょう,shoushou,Un poco
1267,随分,ずいぶん,zuibun,Mucho
1268,引っ張る,ひっぱる,hipparu,jalar
1269,焼ける,やける,yakeru,hornearse / quemarse
1270,鉛筆,えんぴつ,enpitsu,lápiz
1271,会話,かいわ,kaiwa,conversación
1272,ギター,ぎたー,gita-,guitarra
1273,茶,ちゃ,cha,té
1274,暑さ,あつさ,atsusa,El calor
1275,胃,い,i,estómago
1276,禁煙,きねん,kinen,No Fumar
1277,丸い,まるい,marui,redondo
1278,写る,うつる,utsuru,salir en una foto / reflejarse
1279,喫茶店,きっさてん,kissaten,Cafés
1280,やっぱり,やっぱり,yappari,Sobre el segundo pensamiento
1281,週刊誌,しゅうかんし,shuukanshi,Revista semanal
1282,棚,たな,tana,estante
1283,震える,ふるえる,furueru,Temblo
1284,磨く,みがく,migaku,pulir / cepillar
1285,カーテン,かーてん,ka-ten,cortina
1286,火事,かじ,kaji,fuego
1287,ナイフ,ないふ,naifu,Cuchillo (de mesa)
1288,皆さん,みなさん,minasan,todos
1289,受ける,うける,ukeru,recibir / tomar
1290,付く,つく,tsuku,pegarse / acompañar / llegar
1291,私,わたし,watakushi,I
1292,結構,けっこう,kekkou,bastante / suficiente / no gracias
1293,悪口,わるくち,warukuchi,Mala charla
1294,広まる,ひろまる,hiromaru,extenderse / difundirse
1295,内緒,ないしょ,naisho,secreto
1296,つぶる,つぶる,tsuburu,cerrar (ojos) / apretar
1297,用件,ようけん,youken,Pedido
1298,ロマンチック,ろまんちっく,romanchikku,romántico
1299,貯金,ちょきん,chokin,ahorro
1300,バイク,ばいく,baiku,Moto
1301,預かる,あずかる,azukaru,cuidar
1302,オレンジ,おれんじ,orenji,Naranja
1303,噛む,かむ,kamu,morder
1304,きつい,きつい,kitsui,ajustado
1305,越える,こえる,koeru,Superar
1306,小包,こづつみ,kodutsumi,parcela
1307,新年,しんねん,shinnen,Año Nuevo
1308,配達,はいたつ,haitatsu,entrega
1309,動物園,どうぶつえん,doubutsuen,Zoo
1310,封筒,ふうとう,fuutou,sobre
1311,危ない,あぶない,abunai,peligroso
1312,テキスト,てきすと,tekisuto,texto
1313,ビニール,びにーる,bini-ru,vinilo
1314,アルバム,あるばむ,arubamu,álbum
1315,水泳,すいえい,suiei,natación
1316,混む,こむ,komu,Está lleno
1317,スカート,すかーと,suka-to,falda
1318,取れる,とれる,toreru,poder tomarse / poder quitarse
1319,ペン,ぺん,pen,Bolígrafo
1320,物,もの,mono,cosa
1321,郵便,ゆうびん,yuubin,correo postal
1322,割れる,われる,wareru,Se está agrietando
1323,駅員,えきいん,ekiin,Personal de la estación
1324,おしゃべり,おしゃべり,oshaberi,charla / parloteo
1325,緑色,みどりいろ,midoriiro,verde
1326,毎朝,まいあさ,maiasa,Cada mañana
1327,曲げる,まげる,mageru,doblar
1328,きっと,きっと,kitto,Seguramente / Sin duda
1329,理科,りか,rika,ciencia
1330,下着,したぎ,shitagi,ropa interior
1331,太る,ふとる,futoru,Engordar
1332,冷房,れいぼう,reibou,aire acondicionado / refrigeración
1333,別れる,わかれる,wakareru,separarse / despedirse / romper
1334,空く,あく,aku,Está vacío
1335,出掛ける,でかける,dekakeru,salir
1336,毎晩,まいばん,maiban,cada noche
1337,指輪,ゆびわ,yubiwa,anillo
1338,腐る,くさる,kusaru,Está podrido
1339,貧乏,びんぼう,binbou,pobre
1340,おしゃれ,おしゃれ,oshare,(na) A la moda / Elegante / Con estilo
1341,休憩,きゅうけい,kyuukei,descanso / pausa
1342,舌,した,shita,lengua
1343,ジュース,じゅーす,ju-su,jugo
1344,ゼロ,ぜろ,zero,cero
1345,朝刊,ちょうかん,choukan,Edición matutina
1346,丁寧,ていねい,teinei,educado
1347,苦手,にがて,nigate,punto débil
1348,日,ひ / にち / か,hi,día
1349,引っ越し,ひっこし,hikkoshi,mudanza
1350,歩道,ほどう,hodou,Acera
1351,折れる,おれる,oreru,Se rompe
1352,見送り,みおくり,miokuri,despedida / acompañar
1353,夕刊,ゆうかん,yuukan,Edición nocturna
1354,この間,このあいだ,konoaida,En este tiempo
1355,冷える,ひえる,hieru,Hace frío
1356,ピンク,ぴんく,pinku,Rosa
1357,グラス,ぐらす,gurasu,vaso
1358,毛,け,ke,cabello
1359,黒板,こくばん,kokuban,pizarra
1360,積もる,つもる,tsumoru,Se está acumulando
1361,半年,はんとし,hantoshi,Seis meses
1362,現在,げんざい,genzai,actualidad / presente
1363,利用,りよう,riyou,uso / utilización
1364,方法,ほうほう,houhou,método
1365,中心,ちゅうしん,chuushin,centro
1366,明らか,あきらか,akiraka,claro
1367,社長,しゃちょう,shachou,presidente
1368,ほぼ,ほぼ,hobo,Casi
1369,商品,しょうひん,shouhin,mercancías
1370,大型,っおがた,oogata,grande
1371,限る,かぎる,kagiru,limitarse a
1372,記録,きろく,kiroku,registro
1373,具体的,ぐたいてき,gutaiteki,Específico
1374,効果,こうか,kouka,efecto
1375,公開,こうかい,koukai,publicación / apertura al público
1376,作品,さくひん,sakuhin,la obra
1377,迫る,せまる,semaru,acercarse
1378,大会,たいかい,taikai,Conferencia
1379,背景,はいけい,haikei,fondo
1380,文字,もじ,moji,personaje
1381,規則,きそく,kisoku,Normas
1382,近所,きんじょ,kinjo,vecindario
1383,グラフ,ぐらふ,gurapu,gráfico
1384,首都,しゅと,shuto,capital
1385,減らす,へらす,herasu,reducir
1386,隠れる,かくれる,kakureru,esconderse
1387,美術館,びじゅつかん,bijutsukan,Museo
1388,ばか,ばか,baka,tonto
1389,暇,ひま,hima,(na) Libre / Desocupado
1390,絵葉書,えはがき,ehagaki,Tarjeta postal
1391,あんなに,あんなに,annani,Tanto
1392,行き,いき,iki,ida
1393,通勤,つうきん,tsuukin,desplazarse
1394,ちゃんと,ちゃんと,chanto,Correctamente / Como es debido / Ordenadamente
1395,のんびり,のんびり,nonbiri,sin prisa
1396,緊張,きんちょう,kinchou,tensión
1397,気付く,きづく,kiduku,darse cuenta
1398,物語,ものがたり,monogatari,historia
1399,出口,でぐち,deguchi,Salida
1400,登る,のぼる,noboru,trepar
1401,真っ白,まっしろ,masshiro,blanco puro
1402,下ろす,おろす,orosu,bajar / descolgar
1403,貸し出す,かしだす,kashidasu,prestar
1404,サッカー,さっかー,sakka-,fútbol
1405,暖房,だんぼう,danbou,calefacción
1406,手袋,てぶくろ,tebukuro,guantes
1407,留守,るす,rusu,ausencia / no estar en casa
1408,嘘,うそ,uso,mentir
1409,遠慮,えんりょ,enryo,abstenerse
1410,折る,おる,oru,Doblar
1411,スープ,すーぷ,su-pu,sopa
1412,バナナ,ばなな,banana,Plátano / Banana
1413,可哀相,かわいそう,kawaisou,pobre
1414,パトカー,ぱとかー,patoka-,Coche de policía
1415,ハンバーガー,はんばーがー,hanba-ga-,hamburguesa
1416,毛布,もうふ,moufu,frazada
1417,エスカレーター,えすかれーたー,esukare-ta-,escalera mecánica
1418,お嬢さん,おじょうさん,ojousan,Dama
1419,手帳,てちょう,techou,libro de bolsillo
1420,タオル,たおる,taoru,toalla
1421,売店,ばいてん,baiten,tienda / puesto
1422,パチンコ,ぱちんこ,pachiko,pachinko
1423,謝る,あやまる,ayamaru,disculparse
1424,ケーキ,けーき,ke-ki,pastel
1425,天気予報,てんきよほう,tenkiyohou,pronóstico del tiempo
1426,変,へん,hen,extraño
1427,一生懸命,いっしょうけんめい,isshoukenmei,con mucho esfuerzo
1428,間違う,まちがう,machigau,equivocarse
1429,事務室,じむしつ,jimushitsu,Oficina
1430,スーツ,すーつ,su-tsu,traje
1431,チケット,ちけっと,chiketto,boleto
1432,チョコレート,ちょこれーと,chokore-to,chocolate
1433,脱ぐ,ぬぐ,nugu,Quitárselo
1434,年賀状,ねんかじょう,nenkajou,Tarjetas de año nuevo
1435,乗り物,のりもの,norimono,vehículo
1436,布団,ふとん,futon,futón
1437,役に立つ,やくにたつ,yakunitatsu,útil
1438,破れる,やぶれる,yabureru,romperse / rasgarse
1439,用事,ようじ,youji,negocio
1440,写す,うつす,utsusu,Copiar
1441,腕時計,うでどけい,udedokei,reloj de pulsera
1442,贈り物,おくりもの,okurimono,regalo
1443,チャンネル,ちゃんねる,channeru,Canal (de TV)
1444,冷やす,ひやす,hiyasu,enfriar
1445,片付ける,かたづける,katazukeru,guardar
1446,乾杯,かんぱい,kanpai,salud
1447,停車,ていしゃ,teisha,Detener
1448,鳴く,なく,naku,gritar / maullar / cantar (animales)
1449,ガソリンスタンド,がそりんすたんど,gasorinsutando,Gasolinera
1450,片道,かたみち,katamichi,trayecto de ida
1451,交番,こうばん,kouban,caja de la policía
1452,大分,だいぶ,daibu,bastante
1453,デート,でーと,de-to,cita
1454,梅雨,つゆ / ばいう,tsuyu,temporada de lluvias
1455,真っ直ぐ,まっすぐ,massugu,derecho
1456,レモン,れもん,remon,limón
1457,上着,うわぎ,uwagi,chaqueta / ropa exterior
1458,偉い,えらい,erai,excelente
1459,書き方,かきかた,kakikata,Cómo escribir
1460,炊く,たく,taku,cocinar
1461,チーズ,ちーず,chi-zu,queso
1462,ドライブ,どらいぶ,doraibu,conducir
1463,踏切,ふみきり,fumikiri,Cruce de Ferrocarril
1464,ラケット,らけっと,raketto,raqueta
1465,受付,うけつけ,uketsuke,recepción
1466,怒る,おこる,okoru,Enojarse
1467,化粧,けしょう,keshou,maquillaje
1468,都合,つごう,tsugou,conveniencia
1469,ひげ,ひげ,hige,Barba
1470,本棚,ほんだな,hondana,Estante para libros
1471,真っ暗,まっくら,makkura,completamente oscuro
1472,沸く,わく,waku,Hervir
1473,売り切れる,うりきれる,urikireru,Agotado
1474,押し入れ,おしいれ,oshiire,armario empotrado
1475,革,かわ,kawa,cuero
1476,ぐっすり,ぐっすり,gussuri,Dormir profundamente
1477,紅茶,こうちゃ,koucha,Té
1478,邪魔,じゃま,jama,obstáculo
1479,ソース,そーす,so-su,salsa
1480,足す,たす,tasu,Agregar
1481,トマト,とまと,tomato,tomate
1482,バター,ばたー,bata-,manteca
1483,発車,はっしゃ,hassha,Partida
1484,バレーボール,ばれーぼーる,bare-ho-ru,voleibol
1485,おかず,おかず,okazu,guarnición / acompañamiento
1486,カレンダー,かれんだー,karenda-,calendario
1487,とにかく,とにかく,tonikaku,de todos modos
1488,楽しみ,たのしみ,tanoshimi,ilusión / expectativa / diversión
1490,読書,どくしょ,dokusho,lectura
1491,寒気,さむけ,samuke,frío
1492,夕焼け,ゆうやけ,yuuyake,atardecer
1493,傷める,いためる,itameru,dañar / lastimar
1494,くすぐったい,くすぐったい,kusuguttai,cosquillas
1495,泥棒,どろぼう,dorobou,ladrón
1496,襖,ふすま,fusuma,fusuma / puerta corredera
1497,美人,びじん,bijin,persona guapa / belleza
1498,タイプライター,たいぷらいたー,taipuraita-,Máquina de escribir
1499,再来年,さらいねん,sarainen,dentro de dos años
1500,冗談,じょうだん,joudan,broma
1501,近付く,ちかづく,chikaduku,acercarse
1502,電話帳,でんわちょう,denwachou,guía telefónica
1503,ベル,べる,beru,Campana
1504,干す,ほす,hosu,tender / secar
1505,金額,きんがく,kingaku,Cantidad
1506,蚊,か,ka,mosquito
1507,悲しむ,かなしむ,kanashimu,entristecerse
1508,クーラー,くーらー,ku-ra-,enfriador
1509,失礼,しつれい,shitsurei,disculpa / descortesía
1510,洗濯機,せんたくき,sentakuki,lavadora
1511,豆腐,とうふ,toufu,Tofu
1512,昼寝,ひるね,hirune,siesta
1513,不便,ふべん,fuben,inconveniente
1514,ミルク,みるく,miruku,leche
1515,向こう側,むこうがわ,mukougawa,el otro lado
1516,億,おく,oku,cien millones
1517,お礼,おれい,orei,agradecimiento / gracias
1518,着せる,きせる,kiseru,hacer ponerse ropa
1519,サラダ,さらだ,sarada,ensalada
1520,代える,かえる,kaeru,reemplazar
1521,四角,しかく,shikaku,cuadrado
1522,急行,きゅうこう,kyukou,tren expreso
1523,交差点,こうさてん,kousaten,intersección
1524,覚める,さめる,sameru,despertar
1525,昼休み,ひるやすみ,hiruyasumi,descanso para almorzar
1526,ベルト,べると,beruto,Cinturón
1527,真っ黒,まっくろ,makkuro,Tan negro
1528,皆様,みなさま,minasama,todos
1529,ラーメン,らーめん,ra-men,ramen
1530,ライター,らいたー,raita-,encendedor
1531,ワイシャツ,わいしゃつ,waishatsu,camisa
1532,転ぶ,ころぶ,korobu,Caer
1533,シャワー,しゃわー,shawa-,ducha
1534,扇風機,せんぷうき,senpuuki,ventilador
1535,遅刻,ちこく,chikoku,retraso / llegar tarde
1536,釣る,つる,tsuru,pescar / colgar
1537,うどん,うどん,udon,Udon
1538,仮名,かな,kana,kana
1539,記念日,きねんび,kinenbi,aniversario
1540,下り,くだり,kudari,Cuesta abajo
1541,掲示板,けいじばん,keijiban,Tablero de mensajes
1542,凍る,こおる,kooru,Congelar
1543,ごみ,ごみ,gomi,basura
1544,スーパーマーケット,すーぱーまーけっと,su-pa-ma-ketto,supermercado
1545,ぶらぶら,ぶらぶら,burabura,Paseando
1546,アナウンサー,あなうんさー,anaunsa-,locutor
1547,自炊,じすい,jisui,sin servicio de comidas
1549,年下,としした,toshishita,más joven
1550,治す,なおす,naosu,curar
1551,箸,はし,hashi,palillos
1552,花見,はなみ,hanami,ver los cerezos en flor
1553,引き出し,ひきだし,hikidashi,cajón
1554,訳,やく,yaku,razón / significado / traducción
1555,いかが,いかが,ikaga,qué tal / cómo
1556,交通費,こうつうひ,koutsuuhi,Costos de transporte
1557,ステレオ,すてれお,sutereo,estéreo
1558,再会,さいかい,saikai,Reunión
1559,滑る,すべる,suberu,deslizar
1560,早口,はやくち,hayakuchi,habla rápida
1561,裏返す,うらがえす,uragaesu,Déle la vuelta
1562,角,かど,kado,esquina
1563,きらきら,きらきら,kirakira,"Brillante / Resplandeciente (estrellas, joyas)"
1564,三角,さんかく,sankaku,triángulo
1565,激しい,はげしい,hageshii,intenso
1566,経営,けいえい,keiei,gestión
1567,拡大,かくだい,kakudai,expansión
1568,姿勢,しせい,shisei,postura
1569,周辺,しゅうへん,shuuhen,vecindario
1570,他,ほか,ta,otro(s)
1571,達する,たっする,tassuru,alcanzar / llegar a
1572,当時,とうじ,touji,En ese tiempo
1573,当然,とうぜん,touzen,Por supuesto
1574,能力,のうりょく,nouryoku,capacidad
1575,判断,はんだん,handan,Juicio
1576,過ぎる,すぎる,sugiru,Es demasiado
1577,正確,せいかく,seikaku,Preciso
1578,戦争,せんそう,sensou,guerra
1579,放送,ほうそう,housou,transmisión
1580,習慣,しゅうかん,shuukan,Hábito
1581,フィルム,ふぃるむ,fuirumu,película
1582,受け付ける,うけつける,uketsukeru,aceptar
1583,ダンス,だんす,dansu,bailar
1584,こんなに,こんなに,konnani,tanto / así de
1585,吹く,ふく,fuku,Explotar
1586,まあ,まあ,Maa,Oh querido
1587,メール,めーる,me-ru,Correo electrónico
1588,インターネット,いんたーねっと,inta-netto,Internet
1589,出身,しゅっしん,shusshin,Lugar de nacimiento
1590,職業,しょくぎょう,shokugyou,Ocupación
1591,スター,すたー,suta-,Estrella
1592,くだらない,くだらない,kudaranai,Es tonto
1593,名簿,えいぼ,Meibo,Registro
1594,通常,すうじょう,Tsuujou,generalmente
1595,家内,かない,kanai,Dentro de la casa
1596,消防署,しょうぼうしょ,Shoubousho,Estación de bomberos
1597,再び,うたたび,Futatabi,de nuevo
1598,大統領,だいとうりょう,Daitouryou,presidente
1599,入場券,ゆうじょうけん,Nyuujouken,Boleto de admisión
1600,ネックレス,ねっくれす,nekkuresu,Collar
1601,パジャマ,ぱじゃま,pajama,pijama
1602,ボールペン,ぼーるぺん,Borupen,Bolígrafo
1603,かゆい,かゆい,kayui,picar
1604,覚ます,さます,samasu,Me despierto
1605,すいか,すいか,Suika,¿Es sandía?
1606,そば,そば,Soba,alforfón
1607,特急,とっきゅう,tokkyuu,Expresar
1608,のり,のり,Nori,alga
1609,大抵,,たいてい,generalmente
1610,バスケットボール,ばすけっとぼーる,basukettobo-ru,baloncesto
1611,酔っ払う,よっぱらう,yopparau,emborracharse
1612,どきどき,どきどき,Dokidoki,Estoy emocionado
1613,欲しがる,ほしがる,hoshigaru,lo quiero
1614,早起き,あやおき,Hayaoki,Despertar temprano
1615,味噌汁,みそしる,misoshiru,sopa de miso
1616,読み方,よみかた,yomikata,Cómo leer
1617,入り口,いりぐち,iriguchi,Entrada
1618,降ろす,おろす,orosu,descargar
1619,掛かる,かかる,kakaru,Va a tomar
1620,サンドイッチ,さんどいっち,sandoicchi,sándwich
1621,四角い,ひかくい,Shikakui,cuadrado
1622,突き当たる,つきあたる,tsukiataru,encontrarse con
1623,乾かす,かわかす,kawakasu,seco
1624,定期券,ていきけん,Teikiken,Pase
1625,にこにこ,にこにこ,nikoniko,Sonriente / Alegremente
1626,下る,くだる,kudaru,Bajar
1627,ウール,うーる,wu-ru,lana
1628,コーラ,こーら,ko-ra,Cora
1629,トイレットペーパー,といれっとぺーぱー,Toirettopepa,papel higiénico
1630,乗り換え,のりかえ,norikae,transferir
1631,灰皿,はいざら,haizara,cenicero
1632,ハム,はむ,hamu,jamón
1633,床,ゆか,yuka,piso
1634,ローマ字,ローマじ,Ro-maji,romano
1635,いちご,いちご,ichigo,fresa
1636,カレーライス,かれーらいす,kareaisu,Arroz con curry
1637,キャッシュカード,きゃっしゅかーど,Kyasshukado,Tarjeta de caja
1638,停留所,ていりゅうじょ,teiryuujo,Detener
1639,床屋,とこや,tokoya,barbero
1640,歯磨き,はみがき,hamigaki,dentífrico
1641,夕飯,,ゆうはん,Cena
1642,酔っ払い,よっぱらい,yopparai,Ebrio
1643,例,えい,Rei,ejemplo
1644,お辞儀,じぎ,Ojigi,arco
1645,横断歩道,うだんほどう,Oudan hodou,paso de peatones
1646,ぐらぐら,ぐらぐら,guragura,perder
1647,航空便,おうくうびん,Koukuubin,Correo aéreo
1648,ジャム,じゃむ,Jamu,atasco
1649,スリッパ,すりっぱ,Surippa,zapatillas
1650,畳む,たたむ,tatamu,doblar
1651,トランプ,とらんぷ,toranpu,Triunfo
1652,日陰,ひかげ,hikage,Sombra
1653,文房具,ぶんぼうぐ,bunbougu,papelería
1654,免許証,めんきょしょう,menkyoshou,Licencia
1655,訳す,やくす,yakusu,Traducción
1656,よろしい,よろしい,yoroshii,Está bien
1657,両替,りょうがえ,ryougae,Cambio de divisas
1658,片付く,かたづく,kataduku,Limpieza
1659,カップ,かっぷ,kappu,Taza
1660,消しゴム,けしゴム,keshigomi,borrador
1661,スケート,すけーと,suketo,patinar
1662,鍋,なべ,nabe,olla
1663,寝坊,ねぼう,nebou,Durmiendo
1664,鋏,はさみ,hasami,tijeras
1665,真っ青,まっさお,massao,azul profundo
1666,汚す,よごす,yogosu,Mancha
1667,忘れ物,わすれもの,wasuremono,artículo perdido
1668,掛け算,かけざん,kakezan,multiplicación
1669,臭い,くさい,kusai,olor
1670,突き当たり,つきあたり,tsukiatari,Al final
1671,マフラー,まふらー,mafura-,silenciador
1672,桃,もも,momo,Melocotón / Durazno
1673,アクセサリー,あくせさりー,akusesari-,accesorios
1674,あくび,あくび,akubi,Yakubi
1675,あめ,あめ,ame,dulce
1676,上り,のぼり,nobori,Arriba
1677,なるべく,なるべく,narubeku,todo lo posible
1678,じっと,じっと,jitto,Fijamente / Sin moverse
1679,食器,しょっき,shokki,Vajilla
1680,延ばす,のばす,nobasu,extender
1681,薬局,やっきょく,yakkyoku,farmacia
1682,雄,おす,osu,Masculino
1683,雌,めす,mesu,femenino
1684,和風,わふう,wafuu,Estilo japonés
1685,いびき,いびき,ibiki,ronquido
1686,ピクニック,ぴくにっく,pikunikku,picnic
1687,地域,ちいき,chiiki,región
1688,勘違い,かんちがい,kanchigai,malentendido
1689,重要,じゅうよう,juuyou,importante
1690,主人,しゅじん,shujin,maestro
1691,お宅,おたく,otaku,Hogar
1692,ハイキング,はいきんぐ,haikingu,Senderismo
1693,畑,はたけ,hatake,campo
1694,ボーイフレンド,ぼーいふれんど,boifurendo,Novio
1695,イヤリング,いやりんぐ,iyaringu,Pendientes
1696,ガールフレンド,がーるふれんど,ga-rufurendo,Novia
1697,柔らか,やわらか,yawaraka,Suave
1698,納豆,なっとう,natto,Natto
1699,別に,えつに,Betsuni,Individualmente
1700,どうしても,どうしても,Doushitemo,No importa qué
1701,父親,ちちおや,chichioya,padre
1702,誘う,さそう,sasou,Invitarme
1703,母親,ははおや,hahaoya,madre
1704,昼前,ひるまえ,hirumae,Antes del mediodía
1705,ふらふら,ふらふら,furafura,Tambalearse
1706,こぼす,こぼす,kobosu,Derramado
1707,持ってくる,もってくる,mottekuru,Lo traeré
1708,振り向く,うりむく,Furimuku,Giro de vuelta
1709,洗面所,せんめんじょ,Senmenjou,Baño
1710,外側,そとがわ,sotogawa,afuera
1711,段々,だんだん,dandan,Gradualmente
1712,包む,つつむ,tsutsumu,Envoltura
1713,無くなる,なくなる,nakunaru,Desaparecerá
1714,豚,ぶた,buta,cerdo
1715,褒める,ほめる,homeru,elogio
1716,沸かす,わかす,wakasu,hervir
1717,暖める,あたためる,atatameru,cálido
1718,換える,かえる,kaeru,intercambio
1719,安っぽい,やすっぽい,yasuppoi,Parece barato
1720,ぎらぎら,ぎらぎら,giragira,deslumbramiento
1721,何とか,なんとか,nantoka,de alguna manera
1722,いよいよ,いよいよ,iyoiyo,Finalmente es
1723,がらがら,がらがら,garagara,Saludos
1724,缶詰,かんずめ,kantzume,envase
1725,怪我,けが,kega,lesión
1726,寒さ,さむさ,samusa,Frío
1727,祝日,しゅくじつ,shukujitsu,día festivo
1728,すき焼き,うきやき,Sukiyaki,Sukiyaki
1729,葉書,はがき,hagaki,tarjeta postal
1730,掃く,はく,haku,Barrer
1731,何しろ,なにしろ,nanishiro,¿A qué te dedicas?
1733,ぺこぺこ,ぺこぺこ,pekopeko,Pekopeko
1734,ぺらぺら,ぺらぺら,perapera,Hablar con fluidez (idioma) / Delgado (papel)
1735,レインコート,れいんこーと,reinkoto,Impermeable
1736,アイス,あいす,aisu,hielo
1737,塩辛い,しょっぱい,shiokarai,Salado
1738,セロテープ,せろてーぷ,serote-pu,Cinta de violonchelo
1739,大幅,っおはば,oohaba,De modo significativo
1740,教育,きょういく,Kyouiku,educación
1741,工事,おうじ,Kouji,construcción
1742,担当,たんとう,tantou,encargado
1743,法律,おうりつ,Houritsu,ley
1744,丸,まる,maru,Redondo
1745,発表,はっぴょ,happyo,anuncio
1746,研究,けんきゅう,kenkyuu,el estudio
1747,一方,いっぽう,ippou,por otro lado
1748,国内,こくない,kokunai,Doméstico
1749,全体,ぜんたい,zentai,entero
1750,後,のち,nochi,trasero
1751,人間,にんげん,ningen,humano
1752,刺身,さしみ,sashimi,sashimi
1753,ばら,ばら,Bara,Rosa
1754,ねずみ,ねずみ,nezumi,Ratón
1755,以下,いか,ika,abajo
1756,昔,むかし,mukashi,hace mucho tiempo
1757,訳,わけ,wake,razón
1758,違い,ちがい,chigai,diferencia
1759,しっかり,しっかり,shikkari,Firmemente / Con seguridad / Concienzudamente
1760,将来,ほうらい,Shourai,futuro
1761,不思議,ふしぎ,fushigi,preguntarse
1762,決して,けっして,kesshite,nunca
1763,失敗,しっぱい,shippai,Fallar
1764,番,ばん,ban,Número
1765,出会う,であう,deau,encontrar
1766,悩む,なやむ,nayamu,preocuparse
1767,汗,あせ,ase,sudor
1768,すっかり,すっかり,sukkari,Es completamente
1769,代わり,かわり,kawari,Alternar
1770,一言,ひとこと,hitokoto,Una palabra
1771,豊か,ゆたか,yutaka,rico
1772,接続,せつぞく,setsuzoku,conexión
1773,抱える,かかえる,kakaeru,Sostenerlo
1774,エンジン,えんじん,enjin,motor
1775,少女,しょうじょ,shoujo,Chica
1776,無駄,むだ,muda,desperdiciar
1777,自動,じどう,jidou,Automático
1778,先輩,せんぱい,senpai,sénior
1779,眺める,ながめる,nagameru,Míralo
1780,書類,しょるい,Shorui,documento
1781,年月,ねんげつ,nengetsu,Año y mes
1782,燃やす,もやす,moyasu,quemar
1783,線路,せんろ,senro,línea
1784,水着,みずぎ,mizugi,Traje de baño
1785,可愛らしい,かわいらしい,kawairashii,hermoso
1786,仲良し,なかよし,nakayoshi,Buenos amigos
1787,梅干し,うめぼし,umeboshi,Ciruelas de ciruela
1788,ドレス,どれす,doresu,vestido
1789,尽くす,つくす,tsukusu,Haré todo
1790,地球,ちきゅう,chikyuu,Tierra
1791,不親切,ふしんせつ,fushinsetsu,cruel
1792,からから,からから,karakara,Desde el principio
1793,本箱,ほんばこ,honbako,estantería
1794,横書き,よこがき,yokogaki,Escritura horizontal
1795,そば屋,そばや,sobaya,Restaurante Soba
1796,加工,かこう,kakou,tratamiento
1797,実験,じっけん,jikken,experimento
1798,愛する,あいする,aisuru,amar
1799,あんまり,あんまり,anmari,No demasiado
1800,いきなり,いきなり,ikinari,De repente
1801,表,おもて,omote,mesa
1802,汚れ,よごれ,yogore,Mancha
1803,間,あいだ,aida,Intermedio
1804,紫,むらさき,murasaki,Púrpura
1805,灰色,はっいろ,haiiro,gris
1806,血,ち,chi,sangre
1807,顎,あご,ago,mandíbula
1808,始めに,はじめに,hajimeni,Introducción
1809,暖まる,あたためる,atatameru,Calentamiento
1810,お世辞,おせじ,oseji,cumplido
1811,袋,ふくろ,fukuro,bolsa
1812,長袖,ながそで,nagasode,Mangas largas
1813,半袖,はんそで,hansode,Mangas cortas
1814,形,かたち,katachi,forma
1815,景色,けしき,keshiki,escenario
1816,ざあざあ,ざあざあ,zaazaa,Sonido de lluvia fuerte
1817,再来月,さらいげつ,saraigetsu,Mes después del próximo
1818,泊める,とめる,tomeru,Puede quedarse
1819,叱る,しかる,shikaru,Regañar
1820,騒ぐ,さわぐ,sawagu,hacer un escándalo
1821,車道,はどう,Shadou,calzada
1822,掃除機,そうじき,Soujiki,Aspiradora
1823,剃る,そる,soru,afeitar
1824,貼る,はる,haru,Pasta
1825,台,だい,dai,Mesa
1826,主に,おもに,omoni,principalmente
1827,倒す,たおす,taosu,derribar
1828,星,ほし,hoshi,Estrellas
1829,長女,ちょうじょ,choujo,Hija mayor
